month,mkt_rf_equal,smb_equal,hml_equal,mkt_rf,smb,hml
200101,-1.2189795,-1.567749,2.8026581,-1.0321798,-1.0228615,2.5927422
200102,-6.9002018,-2.2333691,3.2719574,-6.1759109,-1.7583613,2.6937702
200103,8.2253189,3.1302702,.41456461,7.4200764,2.7996719,.62840772
200104,.040772703,3.5761278,-2.5288839,-.98627108,3.4579279,-3.0006244
200105,5.0442848,6.3272142,-.090893924,3.0531137,6.6538033,-.81026816
200106,.37475252,.33104271,.37943032,-.21631885,.97855788,1.3423272
200107,-13.466552,-.10030556,-.81714249,-13.356492,-.4214592,-.75347853
200108,-3.0252531,2.1114509,-.90897417,-3.6408391,1.8449749,-.82952362
200109,-6.0752954,-2.9787891,1.5942149,-5.5080996,-2.8788908,2.6937242
200110,-5.662137,-.62614924,2.6799684,-4.9486008,-1.613373,2.4453011
200111,5.0023336,1.8117464,.42124569,3.7059529,2.4746547,.67012775
200112,-7.3464823,-1.660358,1.7689414,-6.5276346,-2.1892436,1.8711598
200201,-12.719084,-2.4489977,2.6417332,-11.104909,-3.1409619,2.6113648
200202,3.8428185,.61573023,-2.4467802,2.6355779,1.3229246,-1.1681814
200203,7.8808961,2.1026022,-1.2890015,6.6235762,2.4674063,-1.544096
200204,5.0655007,2.7609348,2.5490046,3.8732793,2.7613184,2.2629471
200205,-8.8354473,-.14659405,-1.3679013,-8.5480289,-.33293614,-1.5082133
200206,11.514915,-4.1510224,3.2739811,12.947558,-4.7267013,3.033061
200207,-3.806608,.65224856,-1.0123563,-4.1189184,.68469882,-1.3143038
200208,.7433266,1.0971912,.19637397,.50532991,.72317153,.22508454
200209,-5.8776422,-.077083431,.60822225,-5.7644391,-.23744424,.49528098
200210,-5.5606956,-1.2235607,-.59254432,-5.2097197,-1.2850522,-.41860271
200211,-7.9469709,-2.4984386,.83728409,-6.5137372,-3.3157089,.2437191
200212,-4.9965892,.78248829,-2.0257239,-5.0095263,.46513709,-1.6492835
200301,9.8996325,1.2114897,.0667243,9.0528507,1.287004,.98709559
200302,1.2587817,.83242333,.12672082,.86574459,1.1151187,.08253634
200303,-2.6691482,-1.3512701,1.9775115,-1.4714282,-2.1167283,1.8185838
200304,-4.2877254,-4.0703912,4.0854344,-1.4774137,-4.7885728,4.1058521
200305,4.0085258,-1.2125196,.91231406,4.3819962,-1.1276127,1.1753929
200306,-6.9036393,.32251167,-.18809271,-6.9389987,-.16103823,.11908102
200307,-3.1042843,-2.6543722,.88923478,-1.3416306,-3.5597403,1.1097455
200308,-2.6357346,1.1759,-1.5415177,-3.3603518,.92571682,-1.9529057
200309,-4.7956548,-.90924007,.54423428,-4.5580683,-.73635149,.31111836
200310,-6.7455349,-4.6802435,4.330761,-3.9539495,-5.4141846,4.7050428
200311,1.7801123,-1.7017672,2.8987818,2.0782609,-.97724372,3.7835577
200312,-1.1025499,-4.4013081,5.3994074,2.1558826,-5.5564399,6.2034078
200401,8.7118979,1.6701063,-1.0930138,7.3571663,2.078419,.095411539
200402,9.5249109,2.2852235,-1.3755586,7.0305119,3.0880449,-1.2684634
200403,4.1909957,1.5164305,1.3788218,3.2820022,1.8552979,1.3289939
200404,-10.173133,.19808674,2.0577631,-10.211651,1.2729038,3.4902134
200405,-1.8098745,1.7014703,.41417187,-2.3391323,1.5993947,.67587227
200406,-12.91904,-.72820503,1.5377421,-11.740966,-1.4348015,1.7412539
200407,-2.1358755,-4.8344698,.90820366,-.20045853,-4.5422411,.13752919
200408,-5.1791463,.32071462,2.7027783,-4.2941446,-.78035265,2.7391589
200409,4.6628666,-1.8321631,.28101265,5.0462708,-1.4421589,.12155473
200410,-7.2093315,-3.4617736,1.5216892,-5.6943989,-3.1138432,.71200776
200411,4.7036738,3.5601368,-2.1939592,2.1702676,4.0793948,-1.4559138
200412,-8.3577366,-1.1742707,1.3139491,-6.9215055,-2.3550234,1.8351779
200501,-6.9227276,.67594129,-1.0574372,-5.8591123,-1.0305802,-.25140429
200502,10.297452,.087203026,.0019664764,9.2435541,1.344264,.046050549
200503,-12.695211,-1.1491209,1.259624,-10.733084,-2.6228831,1.8866615
200504,-7.6354556,-5.0697255,2.6229725,-3.2850497,-6.3291063,2.5392518
200505,-3.9434843,2.5908742,-.30594862,-7.0104132,3.6328797,-1.2827765
200506,-.7178607,-.1050853,2.9746583,.9352653,-1.7108898,3.3405018
200507,-6.5589628,-5.0345716,1.2215426,-1.9178017,-8.1787491,2.2338781
200508,15.53226,9.3013735,-.60656309,8.6500082,11.714201,-1.6204267
200509,2.5807536,1.6310788,-2.5507247,.27108166,2.4355574,-1.4769666
200510,-6.1786041,-1.0232058,-.51938629,-5.2946882,-1.399489,-1.0419655
200511,1.01099,3.0762095,1.3492758,-.33702591,3.0324719,1.5570862
200512,2.5083535,-4.7334633,1.5908732,4.9052749,-5.4411926,1.667389
200601,8.7681789,-4.8194556,2.2963345,9.4471998,-2.44945,.41510534
200602,2.9625113,1.3362806,.38642114,3.1814563,-.59717196,.12878346
200603,.91819417,-2.575922,1.0643879,1.5285482,-1.5879571,-.28825957
200604,8.605341,-6.4965892,5.49546,11.037015,-4.5829043,2.0530076
200605,26.143826,6.5716243,-1.1726751,19.754484,9.1918144,-.49668503
200606,5.9319148,2.0242145,-1.1393566,3.8575089,3.3717768,-1.4158177
200607,-3.0674708,4.7777662,-.057226658,-5.7864833,5.3787251,-1.2033398
200608,2.9208837,-.93006575,-.27979094,3.4522398,-1.0147548,-.98375738
200609,5.3662229,3.4398773,-3.6797886,4.694994,2.2477643,-2.5068369
200610,-.29547298,-1.296796,2.1481419,1.7167804,-2.9914987,1.8664662
200611,4.1725326,-7.8483014,.24667676,11.996408,-13.132794,-.24921989
200612,5.6187496,-5.5060053,.25827861,13.437356,-11.663516,.028081298
200701,24.462013,1.9937052,-.51509666,20.287781,5.9201102,.16882706
200702,19.485664,5.8477235,3.8957753,10.793859,10.672145,5.7956996
200703,18.197401,8.6254854,-.90934563,12.248717,9.7616663,.49306107
200704,34.459362,1.027523,6.3247528,30.561686,4.8012567,5.3306675
200705,9.8166685,-.26172733,-1.2304935,10.396788,-2.2194128,-2.3434777
200706,-17.478844,-8.7598991,-5.7505236,-9.9265156,-12.573332,-7.1252718
200707,23.472406,6.3821964,3.8182917,19.852819,7.1195807,1.9576473
200708,12.550214,.017182669,-1.4066057,15.163369,-4.0556321,-.63673019
200709,4.3077521,-.91260505,2.6788812,4.4048171,-.94013149,4.3977199
200710,-10.731533,-3.1191571,-1.6320441,-3.0085206,-9.0676498,-3.9999533
200711,-7.3034916,7.1028547,.069318414,-14.33609,9.1865253,2.6775663
200712,19.873569,.41336504,-.56687069,15.689389,5.1504169,1.3083925
200801,-6.7650757,1.957646,-1.1032505,-10.644547,5.4695802,-1.838479
200802,8.5072527,5.3486953,2.9133525,3.7353005,7.9643965,3.0612044
200803,-19.719158,3.0863698,-.42732334,-19.216404,1.3895251,-2.8861866
200804,-5.1619425,-5.8962064,-.88936692,.73848993,-9.3159962,-1.46629
200805,-3.0947633,3.5347152,.68961501,-7.0767322,5.3504162,2.9358697
200806,-25.602257,-.64274663,-1.3798399,-23.855179,-1.8030224,-1.4100838
200807,8.586504,5.5595279,-.53680634,2.9413517,8.6256447,-1.4699793
200808,-22.62879,-.072286606,2.0764351,-17.607504,-5.8149505,3.3898697
200809,-7.9949121,-4.6055679,2.4110589,-6.9778304,-3.2478826,.84872913
200810,-25.948769,1.7953459,.72916794,-26.882568,1.7018408,-.28440762
200811,19.122046,3.6059532,.063304901,13.285081,7.6498752,-1.4035554
200812,6.2616515,4.9805374,-3.3499427,1.173632,6.1068783,-2.9065826
200901,15.786366,-.46431795,-1.4406996,13.406977,2.3395407,-.81369257
200902,8.5458126,1.8014504,-1.1026475,5.4963746,4.186276,-1.8150203
200903,22.031296,2.8928268,-2.4396353,18.497278,4.4937882,-1.9310212
200904,6.5207448,3.0678613,1.0082564,4.8278151,3.2040827,.69255495
200905,7.0017176,2.5225482,-1.3268802,5.4239459,2.5273347,-.84451866
200906,6.7889347,.28910652,-1.3399293,11.569458,-5.8948131,-.8534708
200907,14.646688,-2.4439867,4.1195354,17.025454,-3.7682569,4.1693735
200908,-16.070076,3.3272152,-4.1820722,-21.564207,7.1081367,-3.0213118
200909,3.660589,-.4239141,-1.0279051,5.0546093,-2.64767,-1.5213299
200910,11.802342,.91264027,.46466732,9.5049791,2.8105299,-.52675486
200911,14.510964,2.5517404,1.2926612,8.3453617,7.1725855,-.87300944
200912,2.5531106,2.54901,.34882993,2.9229176,.91077381,2.7366915
201001,-3.3246408,2.5847292,-2.603898,-8.6824589,6.7495098,-2.8701437
201002,6.1909337,2.1061003,-.88432908,2.8773777,4.1921406,-1.5022751
201003,3.5139046,2.8072097,-.12159622,2.2618268,1.7121855,-.21754396
201004,-6.9490838,.20633411,-3.8755569,-7.8990636,.88780403,-2.4323037
201005,-8.8618479,.77055901,-1.7494915,-8.5490417,.17044735,-.60820913
201006,-9.7663116,-.12001451,.81543684,-7.9017434,-2.4132912,1.8360212
201007,15.354675,1.5384016,-.21030378,12.094785,4.2167897,-2.5425277
201008,8.7135429,2.9308262,-4.8399615,2.2698891,7.3952699,-7.8481536
201009,1.1479945,-.86674857,-3.7464621,.74350047,-.37033498,-4.7041855
201010,9.3188229,-3.5180235,3.2306919,11.907048,-3.7682123,2.7518001
201011,-.01911832,4.1671643,-2.7509372,-4.8812089,6.1478949,-4.4944334
201012,-2.203146,.80286163,1.991529,-1.1630054,-.37186006,2.4943182
201101,-4.7407222,-.63080108,2.2377293,-2.127558,-2.8065135,3.4756606
201102,9.8795204,1.7187835,-1.7241294,5.0854197,5.4034252,-3.7595832
201103,-.32466376,1.4069935,-1.218359,.21702799,.18046935,.49010482
201104,-2.8657944,-.49229679,-.035396546,-1.4057012,-1.6456914,.024777681
201105,-7.1982646,.97526884,-.36540771,-6.2019238,-.91589278,-.96992874
201106,3.2402906,1.8030199,-.40622973,2.0213947,2.0221114,-1.2418463
201107,1.4428967,2.484978,-3.1031008,-1.4137049,3.3631027,-4.061759
201108,-3.4271138,2.6187534,-1.0163939,-4.9593825,1.9824659,-1.128086
201109,-12.065897,-.12995274,1.0727077,-9.0633812,-3.217803,2.3203759
201110,3.8717744,.63791829,1.9796834,4.0701795,-.02987369,3.2429354
201111,-4.551496,1.5032372,-1.9622252,-5.3970132,.9042511,-1.505419
201112,-15.66821,-4.1509681,6.40838,-7.3374076,-9.7718954,8.3744459
201201,.049866851,-2.6622572,-2.1671307,3.1812985,-4.3632588,-1.3238955
201202,12.550466,2.6458418,-1.620111,6.6741014,6.2903299,-3.5424495
201203,-7.5899162,.67924166,-.27745891,-7.1477017,-.030658564,.83916807
201204,7.0134587,-1.8777242,-.85252929,5.6553302,.30610499,-2.4665849
201205,1.8363957,1.0311208,-.046400562,-.4450067,2.1533546,-1.710784
201206,-6.6598291,1.807963,.72994208,-5.3465824,-1.0696788,1.3578951
201207,-9.6483755,-2.5700102,.53770351,-5.727356,-4.9708223,.63022804
201208,1.8914695,6.0116553,-2.7068191,-2.6997468,7.3513155,-.95419383
201209,.95506853,-1.2827978,-.79463333,2.2195566,-2.1780548,-2.6986949
201210,-.44265404,.81390494,-.38519907,-1.1960505,1.4346925,.50984752
201211,-11.166129,-1.8512958,2.6247277,-6.1104789,-5.6732345,4.7680988
201212,16.142218,-.39709631,1.3696055,14.752352,1.5006653,1.3386512
201301,6.2851148,1.4581026,-2.3248816,4.7882738,2.5154018,.094611406
201302,3.4598479,2.1251278,-.18367171,-.34466517,4.400043,-.89407921
201303,-3.6980033,2.6622438,-3.092721,-5.4178615,3.2019563,-2.4677145
201304,-3.2362046,-.32577005,1.3065314,-2.7333412,-.57125139,1.4521579
201305,14.012087,4.1799612,-1.2983899,7.334249,8.3386822,-1.0374529
201306,-15.956341,1.1661698,1.776763,-13.670929,-1.2689956,1.6336188
201307,6.8354087,4.0368524,-.31109512,2.5047295,5.790782,-.43589324
201308,8.2793312,-.16533184,-.1491375,5.0046802,3.9258974,-1.8824818
201309,5.3404536,.69146591,2.0650787,3.7869687,1.4804466,1.6403836
201310,-2.7361917,.33033279,1.360419,-2.17694,-.77549964,2.4666858
201311,8.6206961,5.2125235,3.6554818,4.137589,6.0606823,1.2807391
201312,-3.6105218,.25804177,1.4710498,-4.4267879,.7055456,.78613949
201401,1.6320227,5.0604916,2.2420964,-2.7555649,7.2038298,.79363722
201402,3.1972086,2.6465688,-1.4412436,.89341503,3.4283459,-.19563518
201403,-2.6237853,-.21499825,-1.9466662,-2.0325248,-1.1544126,-.66112447
201404,-1.6522472,1.0193322,-.17811123,-.82830691,-.84631157,-.2031686
201405,2.6088128,2.3529389,.6625855,1.133256,2.243084,.67931235
201406,4.4955993,3.7403748,.76026976,2.2131321,3.5849366,.77171296
201407,7.5962343,-.93216991,2.6047928,8.077282,-.28084993,2.0528896
201408,5.3323808,3.813453,-1.4701573,1.2110624,5.3749895,-2.1090326
201409,13.615273,6.5006738,-.1570797,7.3768935,9.3845615,-2.7254014
201410,1.3469269,-1.2387631,2.3756568,1.9003025,-1.0332816,1.772897
201411,5.6415143,-1.2693468,4.430367,8.9793596,-4.1308513,5.1766071
201412,-2.6607122,-14.079427,12.264399,15.605763,-23.615189,15.837667
201501,7.0504584,2.9108598,-6.7600584,.67696089,5.3760099,-7.7520018
201502,7.3975387,1.4865495,-2.5241063,4.0307426,2.9802163,-3.7048688
201503,22.450537,4.1030393,.18334579,14.692111,8.898592,-3.1161385
201504,16.731331,1.6408039,3.3608809,17.05151,1.4112409,2.8258777
201505,23.513811,13.465919,-8.2010546,6.6179628,19.552481,-15.202742
201506,-10.208256,-2.5991654,6.6948891,-7.7901525,-4.1471796,9.0346785
201507,-19.019917,-2.5322831,.47167587,-15.073602,-5.7477975,2.4155626
201508,-14.069465,1.7649269,.25007391,-13.781883,.50893241,1.2557039
201509,-3.2641635,3.0898175,-1.9323578,-4.4751544,2.1734793,-1.0093218
201510,23.216105,6.5078702,-5.4083481,14.093999,10.966597,-7.4273291
201511,9.2494268,8.5592728,-.93062139,3.0098491,9.4561377,-1.51384
201512,6.8617892,5.2460847,-2.1873059,3.8803861,4.7013178,-2.3000555
201601,-30.155308,-3.2057266,3.3699865,-24.493011,-7.1789346,5.4686632
201602,-1.7119274,-.18815586,1.4208653,-1.8839108,.032995064,.86239147
201603,19.487307,5.2804523,-4.2037277,13.913699,6.6594582,-5.7607908
201604,-.86765617,3.4619515,-.99033868,-2.1528306,2.4992208,-.34216237
201605,-1.6589482,-1.707792,.14384741,-.36737481,-2.6362667,.16335362
201606,5.6997786,4.1804614,-.50131434,2.2071278,5.1435189,-1.5641549
201607,-.66201162,-2.0272026,3.4890234,1.5083206,-2.7943466,2.9984002
201608,4.7074876,2.1335258,.84378374,3.7987058,2.3302493,.85342991
201609,-1.095881,2.7389529,.073227778,-2.2531712,2.8677878,-.0090890005
201610,3.4492612,1.9826721,.54925835,2.7209964,2.0498919,.70301127
201611,2.8847203,.81766456,2.0420508,4.1225543,-.48883328,2.2444696
201612,-4.9563508,1.7012974,.87487054,-4.8030095,1.9723542,1.2295564
201701,-2.1408503,-2.9161673,2.6322937,1.314185,-4.0805578,3.5590224
201702,4.0001578,.52945954,.72432101,2.4246893,1.3738347,-.032137752
201703,-2.2525408,-1.2592053,1.8262386,-.72876763,-2.1773348,1.2685122
201704,-5.6006064,-3.9043558,3.1703794,-2.1923923,-5.0418844,3.1955905
201705,-7.0718269,-3.1326103,2.4647439,-1.4396548,-6.8964367,4.0342512
201706,4.3999395,-1.1093837,.19013059,4.0945783,-1.0613593,-1.4174757
201707,-.10611924,-4.1345863,2.5612447,3.019773,-3.2255855,3.4796281
201708,3.3709855,1.1717752,-.94827366,2.448343,.55251569,-.99104822
201709,1.4362434,.58498245,-2.0193968,.65336001,.27823332,-2.3494363
201710,-2.1211774,-1.3217754,.79396081,1.4222106,-5.1181998,-.42661905
201711,-6.7822828,-3.7537649,1.5900686,-2.4544492,-5.1567512,3.2808628
201712,-1.7574445,-1.3806092,.17882246,.15128878,-3.2915256,-.60646045
201801,-2.4862223,-3.7287321,4.3655992,4.4562631,-7.4525418,5.588161
201802,-4.8686228,-1.5791737,-.56759059,-5.7632637,-.30660462,-1.5577501
201803,4.2123594,4.4698353,-5.7873421,-1.8610967,6.210587,-5.484498
201804,-4.3005791,-.045734484,.087242246,-3.2942476,-.51269239,.83587825
201805,-1.1808892,.11361256,1.2331107,.36055472,-3.4640307,-1.6221948
201806,-10.996277,-1.1977043,2.1428728,-7.6527362,-3.5718932,2.4898646
201807,.075650588,-.22207661,-.01170519,1.3891189,-.63647056,2.3039031
201808,-8.0049305,-1.0834709,-.071777105,-5.5314794,-2.1358578,2.5599806
201809,-.62420505,-1.0589849,.79580909,2.6469791,-3.6629829,1.982604
201810,-9.2844477,1.8031913,2.4986188,-8.7143068,.42661253,5.6051259
201811,5.6936331,1.9864442,-2.9429383,.86102521,5.5312805,-4.9294271
201812,-4.1752977,1.0970327,.62815857,-4.1419806,-.15349706,.3020854
201901,-1.8793627,-3.5491066,1.3513157,3.5035779,-6.8625312,1.4082253
201902,22.021667,1.9032873,-4.3052092,15.003164,7.4420676,-6.6191759
201903,10.621785,1.5761648,-1.2688279,6.3277478,5.310483,-3.9740124
201904,-3.7239511,-.057248592,.95861256,-.77395993,-2.7294114,.41144747
201905,-4.9501128,2.8933623,-.82875025,-6.0177374,2.0303717,-.27487397
201906,.65443927,-1.0319483,.5980733,3.4098315,-5.045898,-.38276115
201907,-1.840688,-.39758959,-.0013687313,-.33112127,-2.3721745,-.16848251
201908,-1.3405489,-.48107016,-3.0666096,-1.0874882,-.88395369,-5.4217458
201909,1.3264159,1.1619489,-.61379474,.55202603,1.1507436,.3601197
201910,-.43185389,-.27942336,-.96800965,1.1317983,-1.8759252,-1.3632823
201911,-2.2453699,-.72731024,-.4444263,-1.6631167,-.83862466,-.085346043
201912,8.176877,.84120321,-.903795,6.7131605,1.4173244,-1.2873416
202001,.2993632,.25344235,-2.4825175,-1.3434755,2.6660891,-2.4835382
202002,-.12073567,-.87055171,-2.1206889,-1.1649789,1.1970288,-3.6452827
202003,-3.808573,2.8538089,1.5667295,-5.6863132,1.2999703,1.02555
202004,2.0292692,-2.3002675,-.81213766,4.5763187,-3.3135622,-2.5373802
202005,1.6193446,.86463761,-.094789341,.089632578,2.2214489,-1.5991969
202006,6.7233782,-.042512894,-2.7375238,7.3672619,.36398664,-5.8389502
202007,13.261534,-1.2403761,1.3743887,12.912978,-.0032656987,-2.4133735
202008,3.4701493,3.2023764,-.52684116,2.5534608,1.6623591,-.76187569
202009,-6.8760056,1.0430846,1.0778558,-5.6917963,-1.2139152,1.7804419
202010,.012859261,2.1579182,.036042519,.9105078,-.40059662,-.7255283
202011,2.7429717,-1.5867765,3.3630409,4.0542536,-2.8287082,4.6505361
202012,-3.2967808,-4.6101046,-.95445126,2.6062086,-6.6047077,-5.0208197
